Italian,English
la perdita di memoria,memory loss
la confusione,confusion
il disorientamento,disorientation
la pazienza,patience
la famiglia,family
la salute mentale,mental health
il cervello,brain
il benessere,well-being
la prevenzione,prevention
l'assistenza,assistance / care
il paziente,patient
la dimenticanza,forgetfulness
l'album fotografico,photo album
il ricordo,memory / remembrance
il circuito,circuit
la corrente,electric current
l'interruttore,switch / circuit breaker
il quadro elettrico,electrical panel / fuse box
il guasto,fault / breakdown
l'estrattore,fuse puller / extractor
i guanti,gloves
il fusibile,fuse
il ricambio,spare part / replacement
la tensione,voltage / tension
la sicurezza,safety
l'estintore,fire extinguisher
il cacciavite,screwdriver
il multimetro,multimeter
la torcia,torch / flashlight
il pus,pus
l'infezione,infection
il batterio,bacterium / bacteria
l'ascesso,abscess
l'infiammazione,inflammation
il disinfettante,disinfectant
la garza sterile,sterile gauze
la pomata antibiotica,antibiotic ointment
la colonna vertebrale,vertebral column / spine
mal di schiena,back pain
la zona lombare,lumbar region / lower back
la spalla,shoulder
il gomito,elbow
lo stretching,stretching
il massaggio,massage
la rigidità,stiffness / rigidity
il ginocchio,knee
le nocche,knuckles
l'ergonomia,ergonomics
l'esercizio,exercise
la pomata,ointment / cream
l'antinfiammatorio,anti-inflammatory
il riposo,rest
il nervosismo,nervousness / irritability
l'insonnia,insomnia
i crampi muscolari,muscle cramps
il mal di testa,headache
la stanchezza,fatigue / tiredness
il magnesio,magnesium
gli spinaci,spinach
le mandorle,almonds
il cioccolato fondente,dark chocolate
i semi,seeds
l'integratore,dietary supplement
i legumi,legumes / pulses
la salute,health
l'infezione urinaria,urinary tract infection
il rene,kidney
la vescica,bladder
l'uretere,ureter
il bruciore,burning sensation
il dolore,pain
l'uretra,urethra
la minzione,urination
il campione di urina,urine sample
il test delle urine,urine test
l'antibiotico,antibiotic
il medico,doctor
lo stomaco,stomach
il dolore addominale,abdominal pain
il bruciore di stomaco,heartburn / stomach burning
la nausea,nausea
l'Helicobacter pylori,Helicobacter pylori
la mucosa gastrica,gastric mucosa
l'ulcera,ulcer
il test del respiro,breath test
la gastroscopia,gastroscopy
l'igiene,hygiene
il rilassamento,relaxation
l'ipnoterapeuta,hypnotherapist
la terapia,therapy
la voce,voice
il pendolo,pendulum
la trance,trance
il subconscio,subconscious
la suggestione,suggestion
la mente,mind
la concentrazione,concentration
il sistema circolatorio,circulatory system
la circolazione,circulation
il cuore,heart
l'insufficienza cardiaca,heart failure
la ritenzione idrica,water retention
la fovea,pitting mark (skin indentation)
l'edema,edema / swelling
la gamba,leg
la caviglia gonfia,swollen ankle
il piede,foot
ingrossato,enlarged / swollen
l'adenopatia,adenopathy / lymphadenopathy
i vasi linfatici,lymphatic vessels
il linfonodo cervicale,cervical lymph node
il linfonodo ascellare,axillary lymph node
il linfonodo inguinale,inguinal lymph node
la febbre,fever
lo stetoscopio,stethoscope
il termometro,thermometer
il lettino,examination table / bed
i denti,teeth
la gengiva,gum
l'incisivo,incisor
il canino,canine tooth
la radice,root
il riunito,dental unit / dental chair
il sensore endorale,intraoral sensor
il filo interdentale,dental floss
il collutorio,mouthwash
l'orecchio interno,inner ear
la coclea,cochlea
i canali semicircolari,semicircular canals
il nervo uditivo,auditory nerve
l'ossicino,ossicle (small ear bone)
il modello dell'orecchio,ear model
l'audiometro,audiometer
il test dell'udito,hearing test
l'audiogramma,audiogram
il varicocele,varicocele
la torsione testicolare,testicular torsion
la massa,mass / lump
l'epididimite,epididymitis
il funicolo spermatico,spermatic cord
l'idrocele,hydrocele
l'ecografia,ultrasound / echography
il testicolo,testicle
l'epididimo,epididymis
lo scroto,scrotum
il rigonfiamento,swelling / enlargement
la diagnosi,diagnosis
la fisioterapia,physiotherapy
l'ernia del disco,disc herniation
la compressione,compression
il nervo sciatico,sciatic nerve
il formicolio,tingling / pins and needles
l'intorpidimento,numbness
l'albero,tree
la tosse,cough
l'emicrania,migraine
il polline,pollen
gli occhi,eyes
il naso rosso,runny / red nose
il fazzoletto,tissue / handkerchief
lo starnuto,sneeze
il fiore,flower
l'inalatore,inhaler
l'antistaminico,antihistamine
il periodo di incubazione,incubation period
il raffreddore,cold (illness)
la congiuntivite,conjunctivitis
la macchia rossa,red spot / rash mark
l'esantema,rash / exanthem
il contagio,contagion
il vaccino,vaccine
l'ugola,uvula
il palato molle,soft palate
l'arco palatino,palatine arch
le tonsille palatine,palatine tonsils
il monitor medico,medical monitor
il tablet,tablet
lo spray per la gola,throat spray
gli antiossidanti,antioxidants
le vitamine,vitamins
i minerali,minerals
lo zinco,zinc
il dermatologo,dermatologist
l'eczema,eczema
l'arrossamento,redness
le squame,skin flakes / scales
la secchezza,dryness
il prurito,itching
la barriera cutanea,skin barrier
l'allergia,allergy
la crema idratante,moisturizing cream
il cotone,cotton
la cartella clinica,medical record / patient file
lo sfigmomanometro,blood pressure monitor / sphygmomanometer
l'aterosclerosi,atherosclerosis
il colesterolo,cholesterol
l'arteria,artery
la vena,vein
l'atrio,atrium (of the heart)
l'aritmia,arrhythmia
l'infarto,heart attack
il battito cardiaco,heartbeat
il ventricolo,ventricle
l'ipertensione,hypertension / high blood pressure
l'ictus,stroke
il collo,neck
il gozzo,goiter
gli ormoni,hormones
la ghiandola,gland
lo iodio,iodine
il metabolismo,metabolism
la trachea,trachea / windpipe
la laringe,larynx
il modello anatomico della gola,anatomical model of the throat
l'infermiera,nurse (female)
il cerotto adesivo,adhesive bandage / plaster
l'antisettico,antiseptic
la guarigione,healing / recovery
la ferita,wound
la medicazione,wound dressing
le forbici,scissors
la pinza,tweezers / forceps
la soluzione fisiologica,saline solution
il contenitore,container / waste bin
l'infermiere,nurse (male)
il tecnico di laboratorio,laboratory technician
i globuli rossi,red blood cells
i globuli bianchi,white blood cells
le piastrine,platelets
il laccio emostatico,tourniquet
il prelievo,blood draw / sample collection
l'ago,needle
il sangue,blood
la provetta,test tube
la centrifuga,centrifuge
il microscopio,microscope
il referto,lab report / medical report
l'invecchiamento,aging
l'osso sano,healthy bone
l'osso fragile,fragile / brittle bone
la densità ossea,bone density
lo scheletro,skeleton
la frattura,fracture
la vitamina D,vitamin D
il calcio,calcium
l'attività fisica,physical activity
il radiologo,radiologist
lo scanner,scanner
la TAC,CT scan
la radiazione,radiation
il contrasto,contrast agent
la sala macchine,machine room
la radiografia,X-ray / radiograph
il monitor,monitor / screen
l'immagine,image
la sala comandi,control room
il fumo,smoke / smoking
la dipendenza,addiction
la nicotina,nicotine
la sigaretta,cigarette
il catrame,tar
il posacenere,ashtray
la vita sana,healthy life
l'aria pulita,clean air
il respiro,breath
i polmoni,lungs
smettere di fumare,to quit smoking
il divieto di fumo,no smoking sign
il rinforzo muscolare,muscle strengthening
la ginnastica medica,medical gymnastics / therapeutic exercise
il muscolo,muscle
la postura,posture
il massaggio terapeutico,therapeutic massage
la riabilitazione,rehabilitation
il fisioterapista,physiotherapist
il lettino da trattamento,treatment table
la flessibilità,flexibility
gli esercizi terapeutici,therapeutic exercises
la mobilitazione articolare,joint mobilization
l'articolazione,joint
l'elettroterapia,electrotherapy
il gastroenterologo,gastroenterologist
la visita proctologica,proctological examination
le emorroidi interne,internal hemorrhoids
il retto,rectum
le vene varicose,varicose veins
l'anoscopio,anoscope
l'anestesia locale,local anesthesia
il sanguinamento,bleeding
l'ano,anus
le emorroidi esterne,external hemorrhoids
il prolasso,prolapse
la visita medica,medical examination / visit
il sinus pilonidale,pilonidal sinus
la cisti pilonidale,pilonidal cyst
il pelo,hair
il coccige,coccyx / tailbone
l'incisione,incision
il drenaggio,drainage
il bisturi,scalpel
l'endoscopio,endoscope
l'intestino,intestine
l'anestesia,anesthesia
la telecamera,camera
il digiuno,fasting
lo schermo,screen
la luce,light
la biopsia,biopsy
il monitor dell'endoscopia,endoscopy monitor
l'esofago,esophagus
la sedazione,sedation
la sonda,probe / endoscope tube
il monitor dei parametri vitali,vital signs monitor
l'esame,examination
la pinza bioptica,biopsy forceps
la siringa,syringe
il lettino da visita,examination bed
